title,publication_date,source,country,summary,url,language,sentiment
Trump pleads not guilty to 34 felony counts,2025-05-30 18:55:17,Custom Feed,Custom,,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,en,neutral
Haberman reveals why Trump attacked judge and his family in speech,2025-05-30 18:55:17,Custom Feed,Custom,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,en,negative
What to know about the Trump indictment on the eve of his court appearance,2025-05-30 18:55:17,Custom Feed,Custom,,https://www.cnn.com/collections/intl-trump-040223/,en,neutral
READ: Trump indictment related to hush money payment,2025-05-30 18:55:17,Custom Feed,Custom,,https://cnn.it/411KYN7,en,neutral
Russian authorities detain suspect over St. Petersburg cafe blast,2025-05-30 18:55:17,Custom Feed,Custom,,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,en,neutral
Video shows moment of deadly explosion at cafe in Russia,2025-05-30 18:55:17,Custom Feed,Custom,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,en,negative
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",2025-05-30 18:55:17,Custom Feed,Custom,,https://www.cnn.com/collections/intl-ukraine-030423/,en,neutral
Suspected Chinese spy balloon was able to transmit information back to Beijing,2025-05-30 18:55:17,Custom Feed,Custom,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,en,positive
Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,2025-05-30 18:55:17,Custom Feed,Custom,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,en,negative
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",2025-05-30 18:55:17,Custom Feed,Custom,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,en,negative
The four astronauts NASA picked for the first crewed moon mission in 50 years,2025-05-30 18:55:17,Custom Feed,Custom,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,en,neutral
French minister under fire for Playboy magazine cover,2025-05-30 18:55:17,Custom Feed,Custom,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,en,positive
Why did Finland's PM lose? Reporter explains the key issue voters cared about,2025-05-30 18:55:17,Custom Feed,Custom,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,en,negative
Britain's pound is beating every other major currency this year,2025-05-30 18:55:17,Custom Feed,Custom,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,en,positive
Finland's Prime Minister Sanna Marin concedes election,2025-05-30 18:55:17,Custom Feed,Custom,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,en,negative
Hundreds of millions at risk from Chinese shopping app malware,2025-05-30 18:55:17,Custom Feed,Custom,,https://cnn.it/40OSomK,en,neutral
